e_id;geo_name;loc;geonamesid;time;time_norm;actor
2009;Blackness, Falkirk;[u'56.003652777778 -3.5220111111111'];;1453;1453-01-01;George Crichton, 1st Earl of Caithness
2010;Blackness, Falkirk;[u'56.003652777778 -3.5220111111111'];;1453;1453-01-01;James II of Scotland
2011;Blackness, Falkirk;[u'56.003652777778 -3.5220111111111'];;1453;1453-01-01;Archibald Douglas, 6th Earl of Angus
2012;Stirling Castle;[u'56.124722222222 -3.945'];;the next day;1573-01-28;James Douglas, 4th Earl of Morton
2013;Dumbarton Castle;[u'55.936 -4.5628'];;the next day;1573-01-28;James Douglas, 4th Earl of Morton
2014;River Forth;[u'56.183333333333 -4.4666666666667'];2649177;1453;1453-01-01;James Hamilton
2015;Edinburgh Castle;[u'55.9487 -3.20073'];2650224;the next day;1573-01-28;James Douglas, 4th Earl of Morton
2016;Linlithgow;[u'55.975277777778 -3.6105555555556'];2644444;1453;1453-01-01;James Hamilton
2017;Stirling Castle;[u'56.124722222222 -3.945'];;1693;1693-01-01;William Douglas, 8th Earl of Douglas
2018;Stirling Castle;[u'56.124722222222 -3.945'];;1693;1693-01-01;William Crichton, 1st Lord Crichton
2019;Barnton, Edinburgh;[u'55.9627 -3.30741'];;1912;1912-01-01;George Crichton, 1st Earl of Caithness
2020;Craignethan Castle;[u'55.696561111111 -3.8853194444444'];;1453;1453-01-01;James Hamilton
2021;Craignethan Castle;[u'55.696561111111 -3.8853194444444'];;1453;1453-01-01;James Hamilton, 1st Earl of Arran
2022;Craignethan Castle;[u'55.696561111111 -3.8853194444444'];;1534;1534-01-01;James Hamilton, Duke of Châtellerault
2023;Craignethan Castle;[u'55.696561111111 -3.8853194444444'];;1540;1540-01-01;Mary, Queen of Scots
2024;Craignethan Castle;[u'55.696561111111 -3.8853194444444'];;1540;1540-01-01;James Stewart, 1st Earl of Moray
2025;Craignethan Castle;[u'55.696561111111 -3.8853194444444'];;1534;1534-01-01;James V of Scotland
2026;Stirling Castle;[u'56.124722222222 -3.945'];;1540;1540-01-01;Claud Hamilton, 1st Lord Paisley
2027;Dysart;[u'56.13 -3.11'];2650585;1534;1534-01-01;James Hamilton
2028;Dysart;[u'56.13 -3.11'];2650585;1540;1540-01-01;William Kirkcaldy of Grange
2029;Romania;[u'46 25'];798549;Thursday;2009-08-13;Mark McGrath
2030;Romania;[u'46 25'];798549;March;2009-03-01;Fred Durst
2031;Romania;[u'46 25'];798549;Thursday;2009-08-13;Xzibit
